director_name
Christopher Nolan
Lana Wachowski
Robert Zemeckis
Roman Polanski
Quentin Tarantino
Steven Spielberg
Martin Scorsese
Rajkumar Hirani
Lenny Abrahamson
Terry Gilliam
Harold Ramis
Tom Hooper
Spike Jonze
Paul Thomas Anderson
David Fincher
Jean-Marc VallÃ©e
Stephen Chbosky
Terry Jones
Alex Garland
David O. Russell
Neill Blomkamp
Duncan Jones
Nicolas Winding Refn
Clint Eastwood
John Hughes
Pierre Coffin
Frank Miller
James Marsh
Gabriele Muccino
Asif Kapadia
Edgar Wright
Michel Hazanavicius
Mel Stuart
Lasse HallstrÃ¶m
James L. Brooks
Malik Bendjelloul
Sam Mendes
Gabriela Cowperthwaite
Tomm Moore
David Ayer
Sam Raimi
Richard Curtis
David Zucker
Jeff Nichols
Edward Zwick
David Yates
John Lee Hancock
David Gelb
Tim Burton
Cameron Crowe
Martin Campbell
Mark Herman
Mark Osborne
James Ponsoldt
Sam Hargrave
Yorgos Lanthimos
Derek Cianfrance
Jennifer Yuh Nelson
Matt Reeves
Byron Howard
Kevin Smith
Ron Clements
Robin Hardy
Tom Ford
Ted Demme
Noah Baumbach
Sydney Pollack
Danny Boyle
Ron Underwood
Kirk DeMicco
Steven Knight
Jay Karas
David Mackenzie
Jay Roach
Jeremy Saulnier
Roland Emmerich
Alejandro G. IÃ±Ã¡rritu
Gavin O'Connor
Tomas Alfredson
Robert Eggers
Mike Flanagan
Shekhar Kapur
Richard LaGravenese
Ethan Coen
John Hillcoat
Barry Levinson
Kurt Wimmer
Sarah Smith
Francis Ford Coppola
Neil Jordan
J.C. Chandor
Adam McKay
James Wan
Michael Bay
Gore Verbinski
Paul Greengrass
Phillip Noyce
Andy Tennant
Denis Villeneuve
Nora Ephron
Joachim RÃ¸nning
Paul Katis
Hiroshi Aoyama
Charlie McDowell
Len Wiseman
Eric Darnell
Jeff Margolis
Nicholas Stoller
John Maclean
Scott Derrickson
Morgan Neville
Kyle Patrick Alvarez
Simon Curtis
Henry Joost
Peyton Reed
Michael Dowse
Tom Shadyac
Jacob Kornbluth
Antoine Fuqua
Luis Valdez
Michael Mann
Jonathan Glazer
Frank Oz
John Irvin
Shane Acker
Daniel Lindsay
Brian Helgeland
Jonathan Mostow
Peter Berg
Leslie Iwerks
Lars Klevberg
Gillian Robespierre
Mark Waters
David Soren
Howard Zieff
Atom Egoyan
Constance Marks
Patrick Brice
Evan Goldberg
Wolfgang Petersen
Craig Brewer
Bernard Rose
Lou Adler
James Wong
Michael Cuesta
Robert Luketic
Roger Spottiswoode
Ken Hughes
Ashutosh Gowariker
Christian Ditter
Jacques Perrin
Nick Cassavetes
McG
Frank Coraci
Saul Dibb
Ron Howard
Wayne Blair
Newt Arnold
Steve Loter
Jim Field Smith
Andrew Dominik
Sarah Gavron
Peggy Holmes
Michael Apted
Russell Crowe
Jason Krawczyk
Kevin Macdonald
Paul W.S. Anderson
Anna Boden
Jason Reitman
Wes Craven
Stephen Chiodo
Lee Tamahori
Darnell Martin
Floria Sigismondi
Leslye Headland
Lone Scherfig
Roger Kumble
David R. Ellis
Randal Kleiser
Patrick Tatopoulos
Leslie Small
Phil Joanou
Akiva Schaffer
Simon J. Smith
Ken Kwapis
Lee Fulkerson
Rob Cohen
Sean McNamara
Steven Soderbergh
Rob Minkoff
Zachary Heinzerling
Mimi Leder
Brad Anderson
John Milius
John Wells
John A. Davis
Oliver Stone
David Pastor
Harry Elfont
Hugh Wilson
Greg Berlanti
Jon Watts
James Bridges
Jeff Pollack
Russell Mulcahy
Roger Allers
Alexander Witt
James Mangold
Richard Benjamin
Steve Antin
Ricky Gervais
Lynn Shelton
Bruce Gowers
Robert Altman
Nicholas Hytner
Dustin Hoffman
Charles Martin Smith
Ivan Reitman
Phyllida Lloyd
Julius Avery
David MichÃ´d
Jenny Gage
Beeban Kidron
Michel Gondry
Daniel Stamm
Gary Fleder
Jonathan Liebesman
Mike Clattenburg
Wally Pfister
Errol Morris
Patricia Rozema
Pierre Morel
Gus Van Sant
William Eubank
Tarsem Singh
Jim Mickle
Zach Braff
Keanu Reeves
Pascal Laugier
Alexandre Aja
Mark Dindal
Jesse Dylan
Dean Parisot
Oliver Parker
Imtiaz Ali
Brandon Camp
David Mirkin
Bruce Malmuth
Andrzej Bartkowiak
Mark Steven Johnson
S.S. Wilson
Jared Hess
Spike Lee
Shashanka Ghosh
Sally Potter
Simon Wells
David Cronenberg
Joe Dante
Sofia Coppola
Florian Henckel von Donnersmarck
Dennie Gordon
Davis Guggenheim
Andy Fickman
John Fortenberry
Paul Andrew Williams
Kiran Rao
Max Joseph
Igor Kovalyov
David Palmer
Dave Green
Michael Lehmann
James McTeigue
John Erick Dowdle
Peter Landesman
Abe Forsythe
Jon Amiel
Bruce Robinson
Billy Ray
Alan Rickman
Troy Nixey
Amol Palekar
Keenen Ivory Wayans
Tom Dey
Christopher Smith
Kevin Rodney Sullivan
Garry Marshall
George Stevens
Drake Doremus
Elliot Hegarty
Gareth Edwards
Brian De Palma
Andrew Bujalski
Tim Hill
Jay Chapman
Tyler Perry
Bobby Farrelly
Jonathan Sobol
Barry Sonnenfeld
Jake Szymanski
Brent Maddock
Harold Cronk
Victor Zarcoff
Paul Weitz
Gilles Paquet-Brenner
Steven Brill
John Crowley
Brett Haley
Eli Roth
Mark Neveldine
Richard Loncraine
Jeff Baena
Mark Tonderai
Jonathan Levine
Jim Sheridan
Arnab Chaudhuri
Shana Feste
Raja Gosnell
Kyle Newman
Antoine Bardou-Jacquet
Karey Kirkpatrick
Mandie Fletcher
Joe Nussbaum
David S. Ward
Brian Smith
John Eng
CiarÃ¡n Foy
Michael Tiddes
Neal Brennan
Michael Patrick King
Gonzalo LÃ³pez-Gallego
Bradley Parker
Bo Welch
Matt Shakman
Matt Piedmont
Will Canon
M.J. Bassett
Johnny Martin
Charles Stone III
Jessy Terrero
Madonna
Angelina Jolie
M. Night Shyamalan
Michael Petroni
Peter MacDonald
Walter Hill
Chris Koch
Jon M. Chu
Joe Lynch
Doug Lefler
Ekachai Uekrongtham
Christian E. Christiansen
Tim Hunter
Pamela Romanowsky
Robert Rodriguez
Liv Ullmann
Douglas McGrath
Kevin Greutert
Henrik Ruben Genz
Mike Disa
Marco Schnabel
Peter Hewitt
Andrew Lau
William Brent Bell
Andy Capper
Austin Stark
Tom Green
Roman Coppola
Damien Dante Wayans
Adrian Lyne
Frank Darabont
Ruben Fleischer
Mike Nichols
Rob Reiner
Mel Brooks
Drew Goddard
Don Siegel
Nicholas Meyer
J.J. Abrams
James Ward Byrkit
Neil Marshall
Bong Joon Ho
Lynne Ramsay
Tom McGrath
Peter Cattaneo
Peter Lord
Doug Liman
Robert Kenner
Richard Eyre
Bill Pohlad
Brenda Chapman
Paul Brickman
Jimmy Hayward
Joel Schumacher
Bill Condon
Sean Baker
Gurinder Chadha
Albert Hughes
Oren Moverman
Matthew Heineman
Paul Haggis
Heidi Ewing
Marco Brambilla
Kelly Asbury
Craig Johnson
Gil Kenan
Leonard Nimoy
Sean Ellis
Peter Segal
William Friedkin
Robert Gordon
Nicholas Jarecki
Jeff Tremaine
Lauren Greenfield
Julie Delpy
Phil Karlson
SebastiÃ¡n Cordero
Wayne Kramer
Bibo Bergeron
John Carpenter
Stephen Surjik
George Tillman Jr.
Gary Winick
Joe Swanberg
Michael Almereyda
Stephen Sommers
Michael Sucsy
Todd Berger
Tamara Jenkins
Scott Walker
Jonathan Frakes
FrÃ©dÃ©ric Tcheng
Simon Wincer
Asger Leth
Kelly Reichardt
Kevin Bray
Kevin KÃ¶lsch
Robert Wise
Roxanne Benjamin
Nima Nourizadeh
Tony Randel
Tod Williams
Jennifer Westfeldt
Jake Scott
Peter Chelsom
Forest Whitaker
Richard Rich
Patrick Gilmore
Zachary Donohue
Patricia Riggen
Max Minghella
Anand Tucker
Stephen Norrington
Courteney Cox
Lewis Teague
George Gallo
Rowan Joffe
Udayan Prasad
Arie Posin
Alan Metter
Ben Wheatley
Rachel Talalay
Christian Alvart
Chris Carter
Alex Gregory
Fritz Kiersch
Joseph Zito
Jody Lee Lipes
Kevin Goetz
Vincent D'Onofrio
Simon West
Camille Delamarre
Jorge Blanco
Sebastian del Amo
Jon Avnet
Annette Haywood-Carter
William Shatner
Steve Miner
John Singleton
Justin Zackham
Justin Reardon
Harald Zwart
John Luessenhop
Stuart Beattie
Kasper Barfoed
Eric Styles
Jeremy Haft
Carlo Carlei
Josh Schwartz
Jean-Jacques Annaud
Sam Pillsbury
Danny Pang
Shari Springer Berman
Will Finn
Katie Aselton
David Gordon Green
Susanne Bier
Josh C. Waller
Philippe Caland
Sam Peckinpah
LluÃ­s QuÃ­lez
Michael Rosenbaum
Pete Docter
Barbara Peeters
Joss Whedon
Jim Abrahams
Destin Daniel Cretton
Kenneth Branagh
Joe Johnston
George A. Romero
Jon Favreau
Darren Aronofsky
Stanley Donen
Mel Gibson
Mick Jackson
Brad Furman
Hal Ashby
John Ford
Alan Parker
Matthew Warchus
Tim Robbins
Werner Herzog
Bart Layton
Bennett Miller
Ron Fricke
Stephen Daldry
Martin McDonagh
Sharon Maguire
Craig Gillespie
Joshua Oppenheimer
Norman Jewison
Dan O'Bannon
F. Gary Gray
Troy Duffy
Elizabeth Banks
Kenneth Lonergan
Jimmy Chin
Peter Weir
Howard Deutch
Jordan Vogt-Roberts
Lindsay Anderson
Felix van Groeningen
John Fawcett
Jake Schreier
Michael Cristofer
Clive Barker
Adrian Grunberg
Campbell Scott
Warren Beatty
Richard Linklater
Frank Pierson
Bruce Brown
Xavier Dolan
Richard Attenborough
Ted Kotcheff
Anton Corbijn
Tony Scott
Vadim Perelman
Scott McGehee
Chris Gerolmo
Blake Edwards
David Mamet
Breck Eisner
Louis Malle
Abel Ferrara
Herk Harvey
Larysa Kondracki
Sanjay Gadhvi
Daniel Barber
David Koepp
Sean S. Cunningham
Volker SchlÃ¶ndorff
Chris Paine
Ti West
Michael Moore
Michael Noer
Don Coscarelli
Walter Salles
Christine Jeffs
James Watkins
Scott Glosserman
Zak Hilditch
Nicolas Roeg
Fred Dekker
Tom Stoppard
Dario Argento
Ellen Hovde
Justin Kurzel
Dan Fogelman
Curtis Hanson
Peter Jackson
Sandra Goldbacher
Jon Poll
Amy Berg
John Huston
Jocelyn Moorhouse
