movie_name,budget,revenue,runtime,year
inception,160000000,825500000,148.0,2010
the matrix,63000000,463517383,136.0,1999
back to the future,19000000,381109762,116.0,1985
the pianist,35000000,120072577,150.0,2002
django unchained,100000000,425368238,165.0,2012
raiders of the lost ark,18000000,389925971,115.0,1981
inglourious basterds,70000000,319131050,153.0,2009
taxi driver,1300000,28262574,114.0,1976
3 idiots,9000000,70000000,170.0,2009
room,6000000,35401758,118.0,2015
monty python and the holy grail,400000,5028948,91.0,1975
indiana jones and the last crusade,48000000,474171806,127.0,1989
groundhog day,14600000,70906973,101.0,1993
the king's speech,15000000,414211549,118.0,2010
her,23000000,47351251,126.0,2013
there will be blood,25000000,76181545,158.0,2007
the social network,40000000,224920315,120.0,2010
dallas buyers club,5000000,55198285,117.0,2013
the perks of being a wallflower,13000000,33400000,103.0,2012
life of brian,4000000,20045115,94.0,1979
ex machina,15000000,36869414,108.0,2015
silver linings playbook,21000000,205738714,122.0,2012
district 9,30000000,210819611,112.0,2009
moon,5000000,9760104,97.0,2009
drive,15000000,76175166,100.0,2011
drive,3500000,0,100.0,2011
minority report,102000000,358372926,145.0,2002
mystic river,25000000,156822020,138.0,2003
ferris bueller's day off,6000000,70136369,103.0,1986
despicable me,69000000,543513985,95.0,2010
sin city,40000000,158733820,124.0,2005
indiana jones and the temple of doom,28000000,333000000,118.0,1984
the theory of everything,15000000,121201940,123.0,2014
the pursuit of happyness,55000000,307077295,117.0,2006
senna,0,8212430,106.0,2010
scott pilgrim vs. the world,60000000,47664559,112.0,2010
magnolia,37000000,48451803,188.0,1999
the hateful eight,44000000,155760117,168.0,2015
the artist,15000000,133432856,100.0,2011
back to the future part ii,40000000,332000000,108.0,1989
willy wonka & the chocolate factory,3000000,4000000,100.0,1971
what's eating gilbert grape,11000000,30000000,118.0,1993
the curious case of benjamin button,150000000,333932083,166.0,2008
hugo,170000000,185770160,126.0,2011
as good as it gets,50000000,314178011,139.0,1997
back to the future part iii,40000000,244527583,118.0,1990
searching for sugar man,0,0,86.0,2012
road to perdition,80000000,181001478,117.0,2002
blackfish,0,0,83.0,2013
song of the sea,0,857522,93.0,2014
end of watch,7000000,48126384,109.0,2012
the evil dead,350000,29400000,85.0,1981
about time,0,87100449,123.0,2013
the naked gun: from the files of police squad!,12000000,78756177,85.0,1988
mud,10000000,21587700,130.0,2013
the matrix reloaded,150000000,738599701,138.0,2003
the last samurai,140000000,456758981,154.0,2003
tarzan,0,0,110.0,1999
tarzan,0,0,110.0,1999
saving mr. banks,35000000,112544580,125.0,2013
jiro dreams of sushi,0,2550508,81.0,2011
corpse bride,40000000,117195061,77.0,2005
jerry maguire,50000000,273552592,139.0,1996
goldeneye,58000000,352194034,130.0,1995
goldeneye,0,0,130.0,1995
the boy in the striped pyjamas,12500000,20416563,94.0,2008
the little prince,64000000,97571250,108.0,2015
the spectacular now,2500000,6854611,95.0,2013
extraction,0,16775,116.0,2020
the lobster,4000000,9064511,119.0,2015
blue valentine,1000000,12355734,112.0,2010
kung fu panda 2,150000000,665692281,90.0,2011
cloverfield,25000000,170764026,85.0,2008
the adventures of tintin,130000000,371940071,107.0,2011
bolt,150000000,309979994,96.0,2008
chasing amy,250000,12021272,113.0,1997
the princess and the frog,105000000,267045765,97.0,2009
the wicker man,40000000,38755073,88.0,1973
the wicker man,0,0,88.0,1973
a single man,7000000,0,99.0,2009
blow,53000000,83282296,124.0,2001
the squid and the whale,1500000,11098131,81.0,2005
frances ha,0,4069826,86.0,2013
tootsie,21000000,177200000,116.0,1982
steve jobs,30000000,34441873,122.0,2015
tremors,11000000,48572000,96.0,1990
the croods,135000000,585178928,98.0,2013
